unique_cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,fov,nas_location,h5_idx,background_p1,background_p3,background_p5,background_p10,background_otsu_thresh,background_mean_otsu,background_median_otsu,background_std_otsu,imageDates,NucGRCorrected,CytGRCorrected,CalcCytoArea,normGRcyt,normGRnuc
15000067,8238,3385.75513,2566.79751,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,2737.42489677668,2075.2875323439,14829.021203525877,13,6
15000079,7705,4222.866012,2691.35135,120,1,A,4,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,636.1113225,661.4452968,678.5836233,713.3022875,2130.192416,1040.503032,834.4910074,424.409531,20230516,3414.23939805146,2175.9908524346,13938.36042262647,14,10
15000080,7568,3792.274178,2571.536698,120,1,A,4,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,636.1113225,661.4452968,678.5836233,713.3022875,2130.192416,1040.503032,834.4910074,424.409531,20230516,3066.10057481048,2079.11922445499,13732.97126307933,13,8
15000086,9408,4422.17339,2848.283637,120,1,A,4,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,636.1113225,661.4452968,678.5836233,713.3022875,2130.192416,1040.503032,834.4910074,424.409531,20230516,3575.38187814821,2302.87254737333,17295.17162161852,16,11
15000090,8671,4565.155083,2990.317974,120,1,A,5,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,624.5348446,645.3481829,658.7594525,684.8833054,2124.711219,1064.021881,795.0669259,468.213841,20230516,3690.98434530048,2417.70906548295,15659.85909831091,17,12
15000094,8607,4620.64201,3013.178576,120,1,A,5,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,624.5348446,645.3481829,658.7594525,684.8833054,2124.711219,1064.021881,795.0669259,468.213841,20230516,3735.8462120284,2436.19214493415,15530.999208209652,17,13
15000095,7892,3809.1525,2268.538301,120,1,A,5,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,624.5348446,645.3481829,658.7594525,684.8833054,2124.711219,1064.021881,795.0669259,468.213841,20230516,3079.74690689434,1834.14127307218,14234.248813342994,10,8
15000096,9316,4349.509346,2809.218722,120,1,A,5,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,624.5348446,645.3481829,658.7594525,684.8833054,2124.711219,1064.021881,795.0669259,468.213841,20230516,3516.63209988351,2271.28808045075,17075.815320527272,15,11
15000099,7888,4179.283178,2893.309591,120,1,A,5,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,624.5348446,645.3481829,658.7594525,684.8833054,2124.711219,1064.021881,795.0669259,468.213841,20230516,3379.00213774088,2339.27658805206,14227.731905655402,16,10
15000105,8942,3884.805635,2700.404678,120,1,A,5,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,624.5348446,645.3481829,658.7594525,684.8833054,2124.711219,1064.021881,795.0669259,468.213841,20230516,3140.91340220087,2183.3105800919,16228.784842614625,14,8
